individualPosition,gameStarttimeTSamp,同隊-TOP,同隊-JUNGLE,同隊-MIDDLE,同隊-BOTTOM,同隊-UTILITY,敵隊-TOP,敵隊-JUNGLE,敵隊-MIDDLE,敵隊-BOTTOM,敵隊-UTILITY,timePlayed,勝負,擊殺,死亡,助攻,CS,經濟-TOP,經濟-JUNGLE,經濟-MIDDLE,經濟-BOTTOM,經濟-UTILITY,傷害-TOP,傷害-JUNGLE,傷害-MIDDLE,傷害-BOTTOM,傷害-UTILITY,承傷-TOP,承傷-JUNGLE,承傷-MIDDLE,承傷-BOTTOM,承傷-UTILITY,firstBloodKill,firstBloodAssist,controlWardsPlaced,wardsPlaced,visionScore,visionScorePerMinute,wardsKilled,dragonkills,teamId,隊伍擊殺數,隊伍死亡數,teamRiftHeraldKills,teamDragon,teamElderDragonKills,teamBaronKills
MIDDLE,2022/07/07 00:05:43,Shyvana,Belveth,Sylas,Kalista,Senna,Fiora,Viego,Renata,Zeri,Viktor,1783,False,9,7,5,220,9673,8972,12902,16909,9132,11808,10574,23460,25866,17206,37114,32683,39043,32136,19259,False,False,6,9,20,0.6940723768017183,1,0,200,20,37,0,2,0,0
MIDDLE,2022/07/06 23:29:26,Cassiopeia,Belveth,Seraphine,Kalista,Alistar,Gragas,RekSai,Viktor,Samira,Amumu,1680,False,4,4,9,218,8779,8436,11019,11390,7430,15678,11202,26484,14775,6268,27076,27116,19345,20052,25617,False,False,7,16,32,1.1737144869370617,3,0,200,15,37,0,0,0,0
MIDDLE,2022/07/06 22:52:02,Gragas,Belveth,Corki,Kalista,Renata,Swain,Kindred,Viktor,Senna,TahmKench,1487,False,4,7,3,169,8438,7551,10075,10215,6041,16149,7117,24062,21103,9968,27869,27999,20821,22154,21152,False,False,6,12,18,0.7561505463867318,2,0,100,13,40,0,2,0,0
MIDDLE,2022/07/06 20:29:44,Olaf,Qiyana,Orianna,Ziggs,Pyke,Graves,LeeSin,Zoe,Aphelios,Rakan,1480,True,1,2,20,182,14213,13187,11266,13503,6904,14752,16856,21616,25989,5450,17648,16541,13327,5728,13411,False,True,2,10,16,0.6798051903704746,3,0,200,34,12,2,2,0,1
TOP,2022/07/06 15:42:59,Taric,Taliyah,Yone,Draven,Nautilus,Jax,LeeSin,Rumble,Zeri,Yuumi,1562,True,0,7,26,107,9409,16204,15869,16409,7291,8081,25502,30054,22728,8060,23501,15764,24351,19996,14621,False,True,3,7,21,0.8397398787476671,3,0,100,41,22,1,3,0,1
TOP,2022/07/06 15:06:26,Taric,Viego,Ahri,Aphelios,Lulu,Lillia,LeeSin,Sylas,Kaisa,Rakan,1237,False,4,6,3,135,7255,6368,8839,8338,5377,8922,8707,11732,13843,5763,19768,22441,12705,13048,9242,False,False,2,6,18,0.90156564861954,0,0,100,12,27,0,0,0,0
MIDDLE,2022/07/06 01:08:28,Shen,Belveth,Seraphine,Zeri,Alistar,Sylas,Shaco,Azir,Kalista,Nautilus,1183,True,2,1,6,204,6815,9701,9016,9849,4864,10402,12365,8483,14178,3931,18818,16595,7794,7689,12784,False,False,5,12,22,1.1585558860108027,2,0,200,18,14,2,2,0,0
MIDDLE,2022/07/06 00:47:02,Azir,MonkeyKing,Leblanc,Draven,Renata,Qiyana,Ahri,Akali,Lucian,TahmKench,912,True,3,3,6,97,5796,6508,6006,9533,7001,6546,13170,11319,12668,7097,7176,15917,10600,9296,5872,False,True,3,6,12,0.829809332530519,0,0,200,22,10,1,0,0,0
MIDDLE,2022/07/05 23:52:48,Gnar,Poppy,Sylas,Zeri,Yuumi,Renekton,Diana,Qiyana,Draven,Amumu,1667,True,15,5,12,154,14675,10983,14067,13095,8538,25697,13538,38980,23235,12958,29412,26628,36005,23754,8611,False,False,4,9,22,0.7926896891660505,2,0,200,39,24,0,2,0,0
MIDDLE,2022/07/05 23:21:30,Nasus,Talon,Leblanc,Kalista,Nautilus,Ornn,Zed,Corki,Zeri,Rakan,1462,False,5,6,6,133,8695,12825,9478,10028,6016,18186,19883,15619,11050,5564,22836,27256,20760,19232,19134,False,False,5,9,23,0.971736317542167,1,0,100,23,39,2,0,0,0
