individualPosition,gameStarttimeTSamp,同隊-TOP,同隊-JUNGLE,同隊-MIDDLE,同隊-BOTTOM,同隊-UTILITY,敵隊-TOP,敵隊-JUNGLE,敵隊-MIDDLE,敵隊-BOTTOM,敵隊-UTILITY,timePlayed,勝負,擊殺,死亡,助攻,CS,經濟-TOP,經濟-JUNGLE,經濟-MIDDLE,經濟-BOTTOM,經濟-UTILITY,傷害-TOP,傷害-JUNGLE,傷害-MIDDLE,傷害-BOTTOM,傷害-UTILITY,承傷-TOP,承傷-JUNGLE,承傷-MIDDLE,承傷-BOTTOM,承傷-UTILITY,firstBloodKill,firstBloodAssist,controlWardsPlaced,wardsPlaced,visionScore,visionScorePerMinute,wardsKilled,dragonkills,teamId,隊伍擊殺數,隊伍死亡數,teamRiftHeraldKills,teamDragon,teamElderDragonKills,teamBaronKills
BOTTOM,2022/06/29 00:19:54,Illaoi,Evelynn,Irelia,Tristana,Blitzcrank,Sett,Kayn,Zoe,Lucian,Morgana,2046,False,10,8,10,205,14042,12585,12520,15643,9333,32958,30498,19202,30735,10448,41488,38568,44722,31409,33958,False,False,2,9,23,0.6870935484114583,7,0,200,36,54,1,0,0,0
MIDDLE,2022/06/28 23:48:22,Veigar,LeeSin,Ahri,Jhin,Seraphine,Teemo,Diana,Lux,MissFortune,Ashe,1358,False,2,5,1,112,6939,6761,6204,5115,5712,5701,5350,7069,3582,3993,6523,20919,17291,10888,7974,False,False,3,8,15,0.6707445848347146,2,0,200,6,20,0,0,0,0
MIDDLE,2022/06/28 22:59:41,Yorick,Viego,Ahri,Ashe,Lux,Darius,Graves,Kayn,Ezreal,TahmKench,2078,True,10,6,8,141,13397,15853,12609,13340,11793,26725,20826,29181,23872,24756,25476,33056,23965,19018,13070,False,False,2,10,17,0.5175046749914297,2,0,200,37,22,1,3,0,1
BOTTOM,2022/06/28 22:18:02,Graves,Kindred,Katarina,Tristana,Swain,Shyvana,Yone,Lissandra,Kaisa,Lux,1850,False,10,9,4,181,13293,12273,10630,13672,9734,17257,17079,16167,18283,18353,28319,31162,30722,24882,33027,True,False,1,9,23,0.7666896760195261,5,0,200,29,46,0,1,0,0
BOTTOM,2022/06/28 21:38:47,Yone,Volibear,Tristana,Vayne,Morgana,Darius,Kayn,Yasuo,Jinx,Malphite,2009,False,3,7,3,172,16364,8198,13402,11425,8401,24748,6688,17857,12863,11125,26573,24929,18749,19852,19828,False,False,1,10,22,0.6614749145128471,1,0,200,18,31,2,1,0,0
BOTTOM,2022/06/27 02:49:44,Kayle,LeeSin,Yasuo,Twitch,Lux,Darius,Viego,Zed,MissFortune,Alistar,858,True,5,2,4,75,4527,4926,5575,5927,5174,5385,2082,3860,6517,5255,6228,8314,5400,7004,2446,True,False,0,3,5,0.41653568460793844,2,0,200,12,8,1,1,0,0
BOTTOM,2022/06/27 02:10:38,Vayne,Zac,Ryze,Tristana,Karma,Yone,Lillia,Akshan,Zeri,Yuumi,1983,True,6,6,11,194,13003,12729,14056,14652,8147,24809,19138,20147,20972,8215,26105,42289,35571,21676,18522,False,True,2,11,29,0.8849981811599013,7,0,200,29,26,1,2,0,1
BOTTOM,2022/06/20 23:56:35,Malphite,Trundle,Lucian,Vayne,Blitzcrank,Zac,Gragas,Sylas,Sivir,Lux,2451,True,8,13,5,226,12748,18892,22034,15878,9840,29587,32437,69867,16885,15887,42840,54408,36022,34892,38580,True,False,3,12,40,0.9910450653217462,6,1,100,44,52,1,3,0,1
JUNGLE,2022/06/20 23:13:40,Jax,Diana,Irelia,Xayah,Karma,Darius,LeeSin,Sylas,Ashe,Leona,1744,True,1,5,13,24,11351,9550,15589,11559,7719,11490,16952,33065,21272,11012,20063,25709,29962,17926,16172,False,False,3,6,18,0.6251504602972126,3,2,100,27,26,0,2,0,1
JUNGLE,2022/06/20 22:50:45,Vayne,Diana,Jayce,Tristana,Senna,TahmKench,Kindred,Yasuo,Zeri,Rakan,932,False,1,2,2,68,4692,4155,4706,4308,4804,3848,4958,7891,4112,3662,6042,13460,9314,6806,7617,False,False,0,2,5,0.3251417144513472,1,0,200,6,18,0,0,0,0
